,zmu_origin,zmu_destination,OD_counts
336,1000714,1000816,2
337,1000714,1000816,2
338,1000715,1000622,3
339,1000715,1000622,3
340,1000715,1000622,3
341,1000715,1000829,1
342,1000717,1000422,1
343,1000721,1000611,3
344,1000721,1000611,3
345,1000721,1000611,3
346,1000722,1001131,1
347,1000725,1000217,4
348,1000725,1000217,4
349,1000725,1000217,4
350,1000725,1000217,4
351,1000725,1000712,2
352,1000725,1000712,2
353,1000725,1000726,1
354,1000726,1000725,5
355,1000726,1000725,5
356,1000726,1000725,5
357,1000726,1000725,5
358,1000726,1000725,5
359,1000727,1000712,3
360,1000727,1000712,3
361,1000727,1000712,3
362,1000727,1000851,2
363,1000727,1000851,2
364,1000730,1000725,1
365,1000733,1000509,2
366,1000733,1000509,2
367,1000802,1000703,3
368,1000802,1000703,3
369,1000802,1000703,3
370,1000802,1001029,2
371,1000802,1001029,2
372,1000805,1000855,5
373,1000805,1000855,5
374,1000805,1000855,5
375,1000805,1000855,5
376,1000805,1000855,5
377,1000806,1000524,1
378,1000806,1058131,2
379,1000806,1058131,2
380,1000812,1000812,4
381,1000812,1000812,4
382,1000812,1000812,4
383,1000812,1000812,4
384,1000812,1000813,6
385,1000812,1000813,6
386,1000812,1000813,6
387,1000812,1000813,6
388,1000812,1000813,6
389,1000812,1000813,6
390,1000812,1058104,1
391,1000813,1000813,3
392,1000813,1000813,3
393,1000813,1000813,3
394,1000815,1000515,1
395,1000816,1000848,1
396,1000817,1000851,1
397,1000817,1001001,1
398,1000818,1000842,2
399,1000818,1000842,2
400,1000821,1000819,1
401,1000822,1000866,1
402,1000824,1000867,2
403,1000824,1000867,2
404,1000824,1058039,3
405,1000824,1058039,3
406,1000824,1058039,3
407,1000826,1000502,2
408,1000826,1000502,2
409,1000826,1000826,3
410,1000826,1000826,3
411,1000826,1000826,3
412,1000826,1058010,1
413,1000827,1000827,3
414,1000827,1000827,3
415,1000827,1000827,3
416,1000829,1001005,2
417,1000829,1001005,2
418,1000830,1000830,2
419,1000830,1000830,2
420,1000835,1000849,1
421,1000838,1000816,1
422,1000842,1000812,1
423,1000846,1000305,1
424,1000846,1000821,2
425,1000846,1000821,2
426,1000848,1000848,1
427,1000851,1000851,6
428,1000851,1000851,6
429,1000851,1000851,6
430,1000851,1000851,6
431,1000851,1000851,6
432,1000851,1000851,6
433,1000853,1000279,3
434,1000853,1000279,3
435,1000853,1000279,3
436,1000855,1000868,1
437,1000858,1000858,3
438,1000858,1000858,3
439,1000858,1000858,3
440,1000858,1058099,1
441,1000860,1000851,1
442,1000861,1002013,1
443,1000863,1001020,2
444,1000863,1001020,2
445,1000864,1001053,2
446,1000864,1001053,2
447,1000869,1000848,2
448,1000869,1000848,2
449,1000869,1000862,2
450,1000869,1000862,2
451,1000869,1058060,1
452,1000906,1001053,1
453,1000912,1000642,3
454,1000912,1000642,3
455,1000912,1000642,3
456,1000912,1000916,4
457,1000912,1000916,4
458,1000912,1000916,4
459,1000912,1000916,4
460,1000913,1000904,1
461,1000918,1000121,1
462,1000918,1000815,5
463,1000918,1000815,5
464,1000918,1000815,5
465,1000918,1000815,5
466,1000918,1000815,5
467,1000924,1000903,1
468,1000925,1000927,2
469,1000925,1000927,2
470,1000927,1000906,1
471,1000930,1000919,1
472,1000930,1001007,1
473,1000930,1001219,2
474,1000930,1001219,2
475,1000935,1000953,1
476,1000939,1000923,1
477,1000942,1058005,1
478,1000947,1000938,1
479,1000948,1001011,1
480,1000952,1058099,1
481,1000953,1000948,1
482,1000953,1000953,1
483,1001001,1000846,3
484,1001001,1000846,3
485,1001001,1000846,3
486,1001001,1001001,3
487,1001001,1001001,3
488,1001001,1001001,3
489,1001003,1000706,1
490,1001003,1000707,2
491,1001003,1000707,2
492,1001005,1000412,1
493,1001005,1000642,3
494,1001005,1000642,3
495,1001005,1000642,3
496,1001005,1000819,1
497,1001005,1001033,1
498,1001005,1058122,1
499,1001007,1001002,1
500,1001007,1001044,3
501,1001007,1001044,3
502,1001007,1001044,3
503,1001008,1001016,3
504,1001008,1001016,3
505,1001008,1001016,3
506,1001009,1000803,4
507,1001009,1000803,4
508,1001009,1000803,4
509,1001009,1000803,4
510,1001009,1001954,1
511,1001010,1001003,1
512,1001011,1001011,2
513,1001011,1001011,2
514,1001012,1000418,2
515,1001012,1000418,2
516,1001012,1001018,3
517,1001012,1001018,3
518,1001012,1001018,3
519,1001012,1001027,10
520,1001012,1001027,10
521,1001012,1001027,10
522,1001012,1001027,10
523,1001012,1001027,10
524,1001012,1001027,10
525,1001012,1001027,10
526,1001012,1001027,10
527,1001012,1001027,10
528,1001012,1001027,10
529,1001012,1058046,1
530,1001016,1000130,6
531,1001016,1000130,6
532,1001016,1000130,6
533,1001016,1000130,6
534,1001016,1000130,6
535,1001016,1000130,6
536,1001016,1000808,1
537,1001016,1058034,1
538,1001016,1058133,3
539,1001016,1058133,3
540,1001016,1058133,3
541,1001020,1000850,1
542,1001020,1001017,3
543,1001020,1001017,3
544,1001020,1001017,3
545,1001020,1001034,2
546,1001020,1001034,2
547,1001021,1001008,3
548,1001021,1001008,3
549,1001021,1001008,3
550,1001021,1001028,2
551,1001021,1001028,2
552,1001024,1001024,1
553,1001027,1001036,1
554,1001027,1001053,1
555,1001028,1001010,2
556,1001028,1001010,2
557,1001032,1001120,1
558,1001033,1000802,4
559,1001033,1000802,4
560,1001033,1000802,4
561,1001033,1000802,4
562,1001034,1000816,1
563,1001034,1001042,1
564,1001036,1000837,1
565,1001036,1001034,4
566,1001036,1001034,4
567,1001036,1001034,4
568,1001036,1001034,4
569,1001039,1058046,5
570,1001039,1058046,5
571,1001039,1058046,5
572,1001039,1058046,5
573,1001039,1058046,5
574,1001040,1001010,1
575,1001041,1001032,2
576,1001041,1001032,2
577,1001044,1001036,1
578,1001044,1001044,1
579,1001045,1000805,2
580,1001045,1000805,2
581,1001045,1058125,1
582,1001048,1000856,2
583,1001048,1000856,2
584,1001048,1001034,1
585,1001050,1001051,1
586,1001050,1058128,1
587,1001053,1001040,1
588,1001054,1001051,1
589,1001103,1001817,3
590,1001103,1001817,3
591,1001103,1001817,3
592,1001104,1001111,3
593,1001104,1001111,3
594,1001104,1001111,3
595,1001104,1001228,1
596,1001104,1001361,2
597,1001104,1001361,2
598,1001104,1001504,1
599,1001104,1001604,1
600,1001106,1001114,1
601,1001107,1001107,2
602,1001107,1001107,2
603,1001108,1001513,1
604,1001109,1001143,1
605,1001111,1001137,3
606,1001111,1001137,3
