,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
18685,0.15,392,6838.0,1001933,23.0,Roma,Primavalle,7000,10,174
18686,0.27,880,3717.0,1000519,23.0,Roma,Pietralata,3800,5,79
18687,0.35,530,5716.0,1058042,3.0,Genazzano,,26900,28,618
18688,0.98,270,1024.0,1000732,3.0,Roma,Torre Spaccata,44800,45,0
18689,1.49,1196,672.0,1001234,7.0,Roma,Castel di Decima,18700,14,20
18690,0.71,269,1409.0,1001717,6.0,Roma,Della Vittoria,8700,36,2601
18691,0.71,269,1409.0,1001717,5.0,Roma,Della Vittoria,6800,28,1064
18692,0.07,600,13336.0,1058115,3.0,Lariano,,13700,16,847
18693,0.36,1276,2776.0,1001323,11.0,Roma,Acilia Nord,4800,11,23
18694,0.36,1276,2776.0,1001323,0.0,Roma,Acilia Nord,14100,16,237
18695,0.24,1141,4089.0,1002037,3.0,Roma,La Giustiniana,3600,5,431
18696,0.72,29,4146.0,1001917,3.0,Roma,Trionfale,15400,16,588
18697,0.72,673,1390.0,1000327,20.0,Roma,Nomentano,16200,15,1
18698,0.74,1299,2712.0,1001346,19.0,Roma,Acilia Nord,25150,21,289
18699,6.87,13,291.0,1001124,5.0,Roma,Appio-Pignatelli,2900,9,436
18700,0.32,117,6247.0,1000849,12.0,Roma,Lunghezza,11050,17,21
18701,3.38,379,887.0,1001921,17.0,Roma,La Storta,10633,19,108
18702,2.25,379,887.0,1001921,20.0,Roma,La Storta,21500,29,205
18703,0.36,572,2800.0,1000124,13.0,Roma,Testaccio,300,2,10
18704,6.85,1298,292.0,1000901,18.0,Roma,Tuscolano,5700,19,83
18705,1.68,19,1192.0,1000272,12.0,Roma,Trieste,6000,13,518
18706,1.0,928,997.0,1000610,20.0,Roma,Collatino,5600,15,157
18707,2.65,1233,1888.0,1001248,18.0,Roma,Castel di Leva,10480,12,3
18708,0.3,918,3301.0,1000548,19.0,Roma,Ponte Mammolo,22100,26,166
18709,1.34,70,3734.0,1058112,5.0,Vicovaro,,17100,20,532
18710,0.14,1109,7389.0,1001614,0.0,Roma,Gianicolense,5500,17,343
18711,0.68,1109,7389.0,1001614,20.0,Roma,Gianicolense,1780,7,136
18712,0.14,1109,7389.0,1001614,23.0,Roma,Gianicolense,100,3,13
18713,0.37,592,5377.0,1000632,20.0,Roma,Tuscolano,5050,11,811
18714,0.37,1299,2712.0,1001346,16.0,Roma,Acilia Nord,13500,34,2051
18715,1.72,469,1748.0,1002073,4.0,Roma,Tor di Quinto,37400,76,1360
18716,17.86,1277,56.0,1001326,17.0,Roma,Casal Palocco,17400,30,85
18717,17.86,1277,56.0,1001326,12.0,Roma,Casal Palocco,7900,17,106
18718,1.01,1078,994.0,1000275,17.0,Roma,Trieste,1100,5,1580
18719,2.92,1268,343.0,1001721,20.0,Roma,Della Vittoria,5100,17,69
18720,0.71,253,1405.0,1000225,21.0,Roma,Parioli,6800,18,44
18721,2.04,231,490.0,1002021,18.0,Roma,Prima Porta,14300,22,51
18722,0.27,833,3735.0,1000460,22.0,Roma,Val Melaina,6800,16,899
18723,2.13,269,1409.0,1001717,20.0,Roma,Della Vittoria,9233,17,122
18724,2.13,269,1409.0,1001717,18.0,Roma,Della Vittoria,1700,5,2025
18725,6.8,921,294.0,1000551,9.0,Roma,Settecamini,11350,12,23
18726,0.88,797,1135.0,1000403,20.0,Roma,Val Melaina,200,1,1584
18727,1.19,795,837.0,1000436,21.0,Roma,Val Melaina,1700,3,4
18728,0.29,1031,6907.0,1000905,12.0,Roma,Tuscolano,3200,12,42
18729,1.06,489,1891.0,1002075,5.0,Roma,La Giustiniana,1550,3,2246
18730,0.28,237,3552.0,1001712,23.0,Roma,Trionfale,800,3,87
18731,2.02,1267,494.0,1001312,8.0,Roma,Lido di Ostia Ponente,1300,4,34
18732,0.42,111,4715.0,1000924,10.0,Roma,Tuscolano,9800,22,121
18733,1.1,1275,905.0,1001321,21.0,Roma,Castel Fusano,3600,6,159
18734,0.96,1038,1038.0,1000910,21.0,Roma,Tuscolano,22100,34,2
18735,0.74,901,1351.0,1000627,19.0,Roma,Prenestino-Labicano,10700,14,1594
18736,11.49,250,87.0,1000331,20.0,Roma,Nomentano,9400,16,83
18737,8.06,15,124.0,1002059,13.0,Roma,Isola Farnese,23400,27,249
18738,0.04,59,23123.0,1058043,23.0,Genzano di roma,,29500,34,179
