,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
11778,2.38,401,15111.0,1001612,16.0,Roma,Gianicolense,2766,11,278
11779,49.38,432,162.0,1001624,4.0,Roma,Gianicolense,2262,7,1104
11780,37.04,432,162.0,1001624,6.0,Roma,Gianicolense,2766,11,627
11781,11.1,214,3513.0,1001615,13.0,Roma,Gianicolense,5692,14,324
11782,5.14,457,5063.0,1001528,8.0,Roma,Portuense,8046,15,410
11783,1.43,572,2800.0,1000124,11.0,Roma,Testaccio,4500,13,215
11784,2.14,572,2800.0,1000124,15.0,Roma,Testaccio,2066,8,81
11785,65.57,492,61.0,1001621,10.0,Roma,Gianicolense,3125,8,649
11786,1.49,303,669.0,1001817,8.0,Roma,Aurelio,7000,21,53
11787,10.46,303,669.0,1001817,13.0,Roma,Aurelio,4000,15,68
11788,26.51,238,415.0,1001743,9.0,Roma,Della Vittoria,12454,20,657
11789,3.51,77,48715.0,1058117,6.0,Ardea,,13146,17,733
11790,16.17,958,1237.0,1000717,15.0,Roma,Don Bosco,4840,13,639
11791,5.9,907,1357.0,1000612,17.0,Roma,Prenestino-Labicano,6600,29,308
11792,17.78,958,1237.0,1000717,14.0,Roma,Don Bosco,5468,14,287
11793,3.68,907,1357.0,1000612,15.0,Roma,Prenestino-Labicano,1740,6,1222
11794,2.03,221,6398.0,1000603,12.0,Roma,Prenestino-Labicano,7107,15,123
11795,3.71,1023,9710.0,1000851,17.0,Roma,Torre Angela,9194,20,210
11796,1.25,740,1602.0,1000452,16.0,Roma,Monte Sacro,18800,28,61
11797,2.16,1023,9710.0,1000851,8.0,Roma,Torre Angela,3952,8,261
11798,3.72,965,6460.0,1000727,7.0,Roma,Alessandrino,5175,9,587
11799,3.18,743,943.0,1000233,7.0,Roma,Trieste,3566,18,3020
11800,3.4,1023,9710.0,1000851,6.0,Roma,Torre Angela,3200,8,408
11801,1.94,1032,5158.0,1000863,5.0,Roma,Borghesiana,3060,10,760
11802,3.96,582,2779.0,1000948,15.0,Roma,Tuscolano,3790,12,331
11803,5.79,175,2246.0,1001858,12.0,Roma,Aurelio,7038,15,111
11804,38.46,586,26.0,1001622,13.0,Roma,Gianicolense,5500,19,318
11805,8.36,708,837.0,1000121,8.0,Roma,Ostiense,7557,20,964
11806,4.53,555,1766.0,1001131,9.0,Roma,Ostiense,3612,12,182
11807,1.71,281,2916.0,1001049,20.0,Roma,Casal Morena,11000,13,86
11808,136.36,920,88.0,1000552,9.0,Roma,Settecamini,7858,11,322
11809,3.0,122,4995.0,1000942,14.0,Roma,Appio-Latino,9946,20,262
11810,120.0,454,25.0,1000174,11.0,Roma,Sallustiano,10300,19,99
11811,1.58,326,1903.0,1001822,8.0,Roma,Trionfale,10833,13,37
11812,64.78,886,247.0,1001252,4.0,Roma,Castel Porziano,2568,3,529
11813,4.46,1196,672.0,1001234,9.0,Roma,Castel di Decima,6900,21,39
11814,89.07,886,247.0,1001252,13.0,Roma,Castel Porziano,17418,19,14
11815,8.99,522,556.0,1000907,14.0,Roma,Tuscolano,6020,17,212
11816,64.71,1289,170.0,1001417,4.0,Fiumicino,,8518,18,1491
11817,2.3,1194,3038.0,1001227,9.0,Roma,Tor de' Cenci,4585,12,727
11818,2.92,848,4109.0,1000466,11.0,Roma,Castel Giubileo,8825,15,279
11819,9.53,290,1154.0,1000835,17.0,Roma,Lunghezza,19081,25,79
11820,1.73,290,1154.0,1000835,20.0,Roma,Lunghezza,21950,21,74
11821,1.73,290,1154.0,1000835,19.0,Roma,Lunghezza,13300,16,85
11822,3.24,643,1545.0,1000617,11.0,Roma,Prenestino-Labicano,2420,8,274
11823,8.11,907,1357.0,1000612,11.0,Roma,Prenestino-Labicano,5781,15,939
11824,2.21,907,1357.0,1000612,16.0,Roma,Prenestino-Labicano,2833,10,381
11825,0.24,65,12688.0,1058075,20.0,Palombara sabina,,6666,9,203
11826,1.71,547,7014.0,1058056,11.0,Marcellina,,19291,21,772
11827,2.85,547,7014.0,1058056,16.0,Marcellina,,2740,6,107
11828,5.21,209,192.0,1001840,8.0,Roma,Casalotti,3000,6,4
11829,20.0,1329,150.0,1001632,5.0,Roma,Castel di Guido,5600,12,1303
11830,4.86,1255,1234.0,1001703,4.0,Roma,Prati,12716,30,304
11831,1.62,1255,1234.0,1001703,3.0,Roma,Prati,20300,20,281
11832,3.34,646,2397.0,1000241,2.0,Roma,Pinciano,23250,29,490
11833,1.38,133,1453.0,1001844,2.0,Roma,Primavalle,25300,20,975
11834,1.78,288,2802.0,1001120,9.0,Roma,Ardeatino,15480,17,1192
11835,1.48,43,676.0,1001611,1.0,Roma,La Pisana,34200,20,3774
11836,1.66,1192,2410.0,1001262,5.0,Roma,Torrino,5550,11,251
11837,8.35,1135,3833.0,1001608,14.0,Roma,Gianicolense,4196,12,319
11838,4.06,823,739.0,1000450,12.0,Roma,Monte Sacro,2900,10,44
11839,2.35,1212,3408.0,1001223,12.0,Roma,Giuliano-Dalmata,5975,9,101
11840,4.4,1212,3408.0,1001223,7.0,Roma,Giuliano-Dalmata,6326,12,619
11841,1.71,547,7014.0,1058056,14.0,Marcellina,,5908,9,221
11842,2.51,96,2788.0,1058096,14.0,San polo dei cava,,3685,8,293
11843,1.71,547,7014.0,1058056,18.0,Marcellina,,14533,20,232
11844,3.59,96,2788.0,1058096,13.0,San polo dei cava,,5600,9,195
11845,9.76,287,1230.0,1001411,15.0,Fiumicino,,6958,13,178
11846,2.65,654,1509.0,1000264,17.0,Roma,Salario,7000,25,355
11847,0.73,151,1370.0,1000319,3.0,Roma,Nomentano,600,2,6
11848,6.76,1235,1480.0,1001245,8.0,Roma,Cecchignola,6400,17,420
11849,4.48,730,1563.0,1000164,20.0,Roma,Trastevere,10885,22,930
11850,4.15,1192,2410.0,1001262,6.0,Roma,Torrino,1750,4,583
11851,4.87,1211,821.0,1001222,5.0,Roma,Cecchignola,10450,22,1247
11852,29.23,1211,821.0,1001222,8.0,Roma,Cecchignola,5925,11,344
11853,59.41,1084,101.0,1001030,10.0,Roma,Capannelle,1983,3,220
11854,3.8,518,4206.0,1058035,7.0,Colonna,,9362,14,354
11855,17.05,1211,821.0,1001222,10.0,Roma,Cecchignola,7192,9,325
11856,2.5,591,3204.0,1000128,12.0,Roma,Esquilino,3612,16,274
11857,2.26,268,3536.0,1001803,3.0,Roma,Aurelio,18000,27,609
11858,4.25,1146,3531.0,1001051,13.0,Roma,Casal Morena,8413,14,365
11859,1.63,363,2453.0,1001907,18.0,Roma,Trionfale,3350,15,54
11860,4.19,692,4294.0,1000103,16.0,Roma,Regola,8283,26,230
11861,16.39,982,183.0,1000806,16.0,Roma,Torrenova,15366,15,1972
11862,3.94,65,12688.0,1058075,8.0,Palombara sabina,,5432,10,230
11863,9.95,863,1105.0,1000490,10.0,Roma,Monte Sacro Alto,4909,13,185
11864,10.86,863,1105.0,1000490,11.0,Roma,Monte Sacro Alto,2016,7,132
