zmu;Available_Power;n_charging_stations;index_zmu;POP_TOT_ZMU;comune;nome_comun;quartiere;pgtu;municipio
1002021;;;231.0;490;58091;Roma;Prima Porta;5;15.0
1001828;;;232.0;908;58091;Roma;Castel di Guido;5;13.0
1001616;;;233.0;4015;58091;Roma;Gianicolense;2;12.0
1000859;;;234.0;907;58091;Roma;Torre Angela;5;6.0
1000454;;;235.0;238;58091;Roma;Marcigliana;5;3.0
1001711;;;236.0;223;58091;Roma;Della Vittoria;2;1.0
1001712;[22];1.0;237.0;3552;58091;Roma;Trionfale;2;1.0
1001743;;;238.0;415;58091;Roma;Della Vittoria;2;1.0
1000182;;;239.0;208;58091;Roma;Campo Marzio;1;1.0
1001716;['not available'];1.0;240.0;2457;58091;Roma;Prati;2;1.0
1001718;;;241.0;132;58091;Roma;Della Vittoria;2;1.0
1001729;;;242.0;522;58091;Roma;Della Vittoria;2;1.0
1001731;;;243.0;2615;58091;Roma;Trionfale;2;1.0
1001722;;;244.0;829;58091;Roma;Della Vittoria;2;1.0
1001723;;;245.0;2570;58091;Roma;Trionfale;2;1.0
1001730;[22];1.0;246.0;163;58091;Roma;Della Vittoria;2;1.0
1001734;;;247.0;31;58091;Roma;Della Vittoria;2;1.0
1000917;;;248.0;2280;58091;Roma;Appio-Latino;2;7.0
1000328;;;249.0;54;58091;Roma;Nomentano;2;2.0
1000331;;;250.0;87;58091;Roma;Nomentano;2;2.0
1000428;[43, 50, 44, 22];5.0;251.0;5080;58091;Roma;Marcigliana;5;3.0
1000475;;;252.0;21;58091;Roma;Castel Giubileo;4;3.0
1000225;;;253.0;1405;58091;Roma;Parioli;2;2.0
1000151;;;254.0;32;58091;Roma;Campitelli;1;1.0
1000236;;;255.0;896;58091;Roma;Trieste;2;2.0
1001536;;;256.0;3219;58091;Roma;Gianicolense;4;11.0
1000311;;;257.0;35;58091;Roma;Nomentano;2;2.0
1001904;;;258.0;1917;58091;Roma;Della Vittoria;4;14.0
1000432;;;259.0;379;58091;Roma;Marcigliana;5;3.0
1001509;;;260.0;1567;58091;Roma;Portuense;3;11.0
1001804;;;261.0;2536;58091;Roma;Aurelio;3;13.0
1000437;[43, 50];3.0;262.0;2061;58091;Roma;Monte Sacro Alto;4;3.0
1001540;;;263.0;10817;58091;Roma;Portuense;3;11.0
1002069;;;264.0;384;58091;Roma;Cesano;5;15.0
1001801;[3];2.0;265.0;3927;58091;Roma;Aurelio;2;13.0
1000102;[3, 22];4.0;266.0;420;58091;Roma;S.Eustachio;1;1.0
1001802;;;267.0;232;58091;Roma;Aurelio;4;13.0
1001803;[6.6];1.0;268.0;3536;58091;Roma;Aurelio;2;13.0
1001717;;;269.0;1409;58091;Roma;Della Vittoria;2;1.0
1000732;;;270.0;1024;58091;Roma;Torre Spaccata;4;5.0
1001409;;;271.0;3689;58120;Fiumicino;;7;
1000620;;;272.0;2250;58091;Roma;Tuscolano;3;5.0
1000701;[11];1.0;273.0;1839;58091;Roma;Collatino;3;5.0
1000902;[50, 43];3.0;274.0;1394;58091;Roma;Tuscolano;2;7.0
1000558;;;275.0;3108;58091;Roma;Ponte Mammolo;4;4.0
1001958;;;277.0;5233;58091;Roma;Della Vittoria;4;14.0
1000709;;;278.0;1839;58091;Roma;Alessandrino;4;5.0
1000734;;;279.0;3100;58091;Roma;Tor Sapienza;4;5.0
1000247;[3.7, 22];2.0;280.0;1811;58091;Roma;Trieste;2;2.0
1001049;[50, 22];3.0;281.0;2916;58091;Roma;Casal Morena;5;7.0
1000716;;;282.0;69;58091;Roma;Torre Spaccata;4;5.0
1000939;;;283.0;2030;58091;Roma;Tuscolano;2;7.0
1001053;;;284.0;3458;58091;Roma;Torre Maura;4;7.0
1000846;;;285.0;2012;58091;Roma;Torre Maura;4;6.0
1001706;;;286.0;0;58091;Roma;Della Vittoria;2;1.0
1001411;[22, 3.7];2.0;287.0;1230;58120;Fiumicino;;7;
1001120;;;288.0;2802;58091;Roma;Ardeatino;4;8.0
1001965;[10];1.0;289.0;483;58091;Roma;Casalotti;5;14.0
1000835;;;290.0;1154;58091;Roma;Lunghezza;5;6.0
1001701;;;291.0;2330;58091;Roma;Borgo;2;1.0
1001213;;;292.0;1174;58091;Roma;Torrino;4;9.0
1001242;;;293.0;558;58091;Roma;Torrino;4;9.0
1001511;;;294.0;1226;58091;Roma;Portuense;4;11.0
1001806;;;295.0;3035;58091;Roma;Primavalle;3;13.0
1001367;;;296.0;925;58091;Roma;Ostia Antica;6;10.0
1001812;;;297.0;1912;58091;Roma;Aurelio;3;13.0
1002054;;;298.0;2452;58091;Roma;Tor di Quinto;3;15.0
1001805;;;299.0;1112;58091;Roma;Aurelio;3;13.0
1001808;;;300.0;1970;58091;Roma;Trionfale;4;13.0
1001539;;;301.0;524;58091;Roma;Portuense;3;11.0
1001807;[22];1.0;302.0;2283;58091;Roma;Aurelio;4;13.0
1001817;;;303.0;669;58091;Roma;Aurelio;4;13.0
1001809;;;304.0;2325;58091;Roma;Trionfale;4;13.0
1001816;[3.6];1.0;305.0;2643;58091;Roma;Aurelio;2;13.0
1001810;;;306.0;1862;58091;Roma;Aurelio;4;13.0
1001811;;;307.0;3358;58091;Roma;Aurelio;3;13.0
1000265;;;308.0;1015;58091;Roma;Parioli;2;2.0
1001506;;;309.0;3567;58091;Roma;Portuense;3;11.0
1002076;;;310.0;2894;58091;Roma;Tomba di Nerone;4;15.0
1001105;[50, 43];3.0;311.0;3346;58091;Roma;Ostiense;3;8.0
1000273;;;312.0;981;58091;Roma;Parioli;2;2.0
1001949;;;313.0;1606;58091;Roma;Primavalle;4;14.0
1001398;;;314.0;5834;58091;Roma;Casal Palocco;6;10.0
1001838;;;315.0;4476;58091;Roma;Aurelio;3;13.0
1001819;;;316.0;1071;58091;Roma;Aurelio;3;13.0
1001521;;;317.0;3380;58091;Roma;Gianicolense;4;11.0
1001813;;;318.0;4270;58091;Roma;Casalotti;5;13.0
1001967;;;319.0;133;58091;Roma;Casalotti;5;14.0
1001826;;;320.0;1625;58091;Roma;Aurelio;3;13.0
1001410;[3.7, 22];4.0;321.0;6575;58120;Fiumicino;;7;
1001393;;;322.0;1924;58091;Roma;Castel Fusano;6;10.0
1001824;;;323.0;3590;58091;Roma;Aurelio;4;13.0
1001825;[22, 250];2.0;324.0;3836;58091;Roma;Aurelio;3;13.0
1001727;;;325.0;1413;58091;Roma;Della Vittoria;2;1.0
1001822;;;326.0;1903;58091;Roma;Trionfale;4;13.0
1001834;;;327.0;3913;58091;Roma;Primavalle;3;13.0
1001525;;;328.0;6625;58091;Roma;Portuense;3;11.0
1001708;[3];2.0;329.0;4684;58091;Roma;Della Vittoria;2;1.0
1001841;;;330.0;4418;58091;Roma;Aurelio;3;13.0
1001827;;;331.0;13428;58091;Roma;Casalotti;5;13.0
1001919;;;332.0;2190;58091;Roma;Della Vittoria;4;14.0
1001830;;;333.0;3221;58091;Roma;Aurelio;2;13.0
1001831;;;334.0;2449;58091;Roma;Aurelio;3;13.0
1000248;;;335.0;744;58091;Roma;Pinciano;2;2.0
1000834;;;336.0;259;58091;Roma;Lunghezza;5;6.0
1001835;;;337.0;2799;58091;Roma;Aurelio;3;13.0
1001836;;;338.0;3241;58091;Roma;Primavalle;4;13.0
1001856;[3];2.0;339.0;2289;58091;Roma;Primavalle;3;13.0
1001833;;;340.0;1103;58091;Roma;Aurelio;4;13.0
1001301;;;341.0;230;58091;Roma;Acilia Sud;6;10.0
1001849;;;342.0;1462;58091;Roma;Aurelio;3;13.0
1001837;;;343.0;4671;58091;Roma;Aurelio;4;13.0
1001842;;;344.0;2378;58091;Roma;Aurelio;3;13.0
1001846;;;345.0;2472;58091;Roma;Aurelio;3;13.0
1000921;;;346.0;1797;58091;Roma;Tuscolano;2;7.0
1001843;;;347.0;818;58091;Roma;Aurelio;3;13.0
1001850;;;348.0;367;58091;Roma;Aurelio;4;13.0
1001845;;;349.0;6536;58091;Roma;Aurelio;4;13.0
1001848;;;350.0;790;58091;Roma;Aurelio;3;13.0
1001851;;;351.0;2988;58091;Roma;Primavalle;3;13.0
1001852;;;352.0;1005;58091;Roma;Aurelio;4;13.0
1001854;;;353.0;2797;58091;Roma;Castel di Guido;5;13.0
1001857;;;354.0;263;58091;Roma;Casalotti;5;13.0
1000195;;;355.0;225;58091;Roma;Trevi;1;1.0
1000159;;;356.0;241;58091;Roma;Trevi;1;1.0
1000125;;;357.0;521;58091;Roma;Castro Pretorio;1;1.0
1001901;;;358.0;8216;58091;Roma;Trionfale;3;14.0
1001908;;;359.0;4324;58091;Roma;Primavalle;4;14.0
1001902;[22];1.0;360.0;269;58091;Roma;Trionfale;3;14.0
1001903;;;361.0;1797;58091;Roma;Trionfale;3;14.0
1001906;[7.4];1.0;362.0;4659;58091;Roma;Trionfale;3;14.0
1001907;;;363.0;2453;58091;Roma;Trionfale;3;14.0
1001912;;;364.0;824;58091;Roma;Primavalle;4;14.0
1001929;;;365.0;5429;58091;Roma;Trionfale;3;14.0
1001909;;;366.0;4900;58091;Roma;Primavalle;4;14.0
1000253;[3, 22];2.0;367.0;2478;58091;Roma;Trieste;2;2.0
1001910;;;368.0;3362;58091;Roma;Primavalle;4;14.0
1000425;;;369.0;4452;58091;Roma;Monte Sacro;4;3.0
1000309;[22];1.0;370.0;4419;58091;Roma;Tiburtino;2;2.0
1001911;;;371.0;5651;58091;Roma;Primavalle;4;14.0
1001913;;;372.0;1877;58091;Roma;Trionfale;4;14.0
1000615;;;373.0;316;58091;Roma;Tiburtino;3;5.0
1001916;;;374.0;2916;58091;Roma;Trionfale;4;14.0
1001925;[7];1.0;375.0;2147;58091;Roma;Trionfale;3;14.0
1001918;;;376.0;6911;58091;Roma;Ottavia;4;14.0
1001395;;;377.0;1257;58091;Roma;Acilia Nord;6;10.0
1001920;;;378.0;2675;58091;Roma;Trionfale;3;14.0
1001921;;;379.0;887;58091;Roma;La Storta;5;14.0
1001705;;;380.0;1575;58091;Roma;Della Vittoria;2;1.0
1000274;[22, 3];2.0;381.0;2320;58091;Roma;Trieste;2;2.0
1001526;;;382.0;3263;58091;Roma;Portuense;3;11.0
1001926;;;383.0;4501;58091;Roma;Trionfale;3;14.0
1001922;;;384.0;1491;58091;Roma;Casalotti;5;14.0
1001928;;;385.0;10;58091;Roma;Trionfale;3;14.0
1001930;;;386.0;3482;58091;Roma;Primavalle;4;14.0
1001931;;;387.0;2909;58091;Roma;Primavalle;4;14.0
1000230;;;388.0;1412;58091;Roma;Salario;2;2.0
1001932;;;389.0;4373;58091;Roma;Primavalle;4;14.0
1000178;;;390.0;91;58091;Roma;Celio;1;1.0
1002004;;;391.0;537;58091;Roma;Della Vittoria;4;15.0
1001933;;;392.0;6838;58091;Roma;Primavalle;4;14.0
1001936;;;393.0;1351;58091;Roma;Tomba di Nerone;4;14.0
1000104;;;394.0;3670;58091;Roma;Ponte;1;1.0
1000234;;;395.0;2144;58091;Roma;Trieste;2;2.0
1001934;;;396.0;5455;58091;Roma;Primavalle;4;14.0
1001527;;;397.0;3564;58091;Roma;Portuense;3;11.0
1001937;;;398.0;3615;58091;Roma;Trionfale;4;14.0
1001935;;;399.0;8087;58091;Roma;Ottavia;4;14.0
1001945;;;400.0;1796;58091;Roma;Trionfale;3;14.0
1001612;[22, 50];4.0;401.0;15111;58091;Roma;Gianicolense;2;12.0
1002050;;;402.0;1594;58091;Roma;Tor di Quinto;3;15.0
1001947;;;403.0;1282;58091;Roma;Primavalle;4;14.0
1001948;;;404.0;5043;58091;Roma;Primavalle;4;14.0
1000235;[3.7, 22];2.0;405.0;1416;58091;Roma;Trieste;2;2.0
1001938;[50, 43];3.0;406.0;7763;58091;Roma;Ottavia;4;14.0
1002067;;;407.0;10;58091;Roma;Tor di Quinto;4;15.0
1001942;;;408.0;4954;58091;Roma;Casalotti;5;14.0
1058067;;;409.0;2468;58067;Moricone;;7;
1002008;;;410.0;134;58091;Roma;Tor di Quinto;3;15.0
1001042;;;411.0;3712;58091;Roma;Torre Maura;4;7.0
1002002;;;412.0;1571;58091;Roma;Tor di Quinto;3;15.0
1001952;;;413.0;117;58091;Roma;Della Vittoria;4;14.0
1002001;;;414.0;10;58091;Roma;Tor di Quinto;3;15.0
