,counts,index_zmu,POP_TOT_ZMU,zmu,hr,day,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
13758,3.26,432,307.0,1001624,14.0,2022-10-20,Roma,Gianicolense,400.0,2.0,28.0
13759,1.58,639,1269.0,1001547,14.0,2022-10-20,Roma,Portuense,1050.0,3.0,39.0
13760,12.99,882,77.0,1000513,7.0,2022-10-20,Roma,Tor Cervara,2700.0,7.0,92.0
13761,2.86,91,350.0,1000227,6.0,2022-10-20,Roma,Flaminio,1000.0,3.0,0.0
13762,2.86,91,350.0,1000227,5.0,2022-10-20,Roma,Flaminio,3500.0,10.0,0.0
13763,0.16,35,6292.0,1002024,16.0,2022-10-20,Roma,Cesano,26800.0,42.0,637.0
13764,9.8,410,102.0,1002008,12.0,2022-10-20,Roma,Tor di Quinto,18300.0,16.0,16.0
13765,2.1,9,477.0,1000832,17.0,2022-10-20,Roma,Torre Gaia,200.0,1.0,7.0
13766,0.08,519,11893.0,1058038,0.0,2022-10-20,Formello,,20200.0,22.0,8.0
13767,1.49,472,672.0,1002078,21.0,2022-10-20,Roma,Tor di Quinto,20900.0,23.0,220.0
13768,1.22,308,823.0,1000265,18.0,2022-10-20,Roma,Parioli,200.0,2.0,35.0
13769,1.26,819,796.0,1000954,5.0,2022-10-20,Roma,Tuscolano,2900.0,13.0,4.0
13770,1.39,835,1434.0,1000443,10.0,2022-10-20,Roma,Castel Giubileo,2200.0,9.0,1439.0
13771,7.52,34,133.0,1002009,10.0,2022-10-20,Roma,Tomba di Nerone,10100.0,22.0,15877.0
13772,2.24,1073,893.0,1001021,4.0,2022-10-20,Roma,Casal Morena,15350.0,17.0,299.0
13773,0.29,39,3396.0,1058129,20.0,2022-10-20,FRASCATI,,67300.0,37.0,889.0
13774,0.5,395,1981.0,1000234,6.0,2022-10-20,Roma,Trieste,0.0,0.0,0.0
13775,0.49,890,2033.0,1000517,7.0,2022-10-20,Roma,Tor Cervara,300.0,0.0,11.0
13776,0.4,957,2483.0,1000635,8.0,2022-10-20,Roma,Prenestino-Labicano,7500.0,16.0,768.0
13777,0.4,957,2483.0,1000635,19.0,2022-10-20,Roma,Prenestino-Labicano,4600.0,12.0,526.0
13778,0.23,66,4429.0,1000613,20.0,2022-10-20,Roma,Collatino,200.0,1.0,8.0
13779,0.4,957,2483.0,1000635,20.0,2022-10-20,Roma,Prenestino-Labicano,200.0,3.0,1.0
