index_zmu;POP_TOT_ZMU;zmu;comune;nome_comun;quartiere;pgtu;municipio;OperatorInfo;NumberOfPoints;ID;city;Connection_TypeID;Connection_ID;Power;charging_stations
53.0;11215;1058015;58015;Campagnano di rom;;7;;CAMPIGNANO Piazza Croce | ENELX;2;147053;Campagnano di Roma;36;204001;3.7;1
53.0;11215;1058015;58015;Campagnano di rom;;7;;Via Mola Maggiorana;2;303552;Campagnano di Roma;33;570067;300.0;1
53.0;11215;1058015;58015;Campagnano di rom;;7;;Enel X Autodromo di Vallelunga;5;190086;Campagnano di Roma;25;306969;20;1
53.0;11215;1058015;58015;Campagnano di rom;;7;;Enel X Autodromo di Vallelunga;5;190086;Campagnano di Roma;33;306968;50;1
56.0;37244;1058029;58029;Cerveteri;;7;;B&B Villa la Giulia;1;91327;17;30;129036;11;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Civitavecchia Piazza Verdi | EnelX fast;2;133512;Civitavecchia;1036;186482;43;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Civitavecchia Piazza Verdi | EnelX fast;2;133512;Civitavecchia;33;186480;50;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Civitavecchia Piazza Verdi | EnelX fast;2;133512;Civitavecchia;2;186481;50;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Civitavecchia Thaon De Revel | EnelX;4;130075;Civitavecchia;25;181593;22;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Civitavecchia Thaon De Revel | EnelX;4;130075;Civitavecchia;36;181594;3.7;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Civitavecchia Repubblica | EnelX;4;130076;Civitavecchia;36;181596;3.7;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Civitavecchia Repubblica | EnelX;4;130076;Civitavecchia;25;181595;22;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Civitavecchia Eroi | EnelX;2;130077;Civitavecchia;25;181597;22;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Civitavecchia Eroi | EnelX;2;130077;Civitavecchia;36;181598;3.7;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Municipio di Civitavecchia | EnelX;4;132865;Civitavecchia;25;185526;22;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Municipio di Civitavecchia | EnelX;4;132865;Civitavecchia;36;185527;3.7;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Civitavecchia D'Ardia | EnelX;2;130078;Civitavecchia;25;181599;22;1
57.0;51690;1058032;58032;Civitavecchia;;7;;Civitavecchia D'Ardia | EnelX;2;130078;Civitavecchia;36;181600;3.7;1
57.0;51690;1058032;58032;Civitavecchia;;7;;EnelX EVA+ Civitavecchia;2;95785;Civitavecchia;33;135216;50;1
57.0;51690;1058032;58032;Civitavecchia;;7;;EnelX EVA+ Civitavecchia;2;95785;Civitavecchia;2;135217;50;1
57.0;51690;1058032;58032;Civitavecchia;;7;;EnelX EVA+ Civitavecchia;2;95785;Civitavecchia;1036;135218;43;1
58.0;6248;1058040;58040;Gallicano nel laz;;7;;Free To X ADS Prenestina Ovest;3;211426;Gallicano Nel Lazio;33;351790;300;1
