,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
13501,1.34,676,2242.0,1000258,20.0,Roma,Parioli,9066,15,1345
13502,9.54,397,3564.0,1001527,6.0,Roma,Portuense,6423,24,1053
13503,2.36,761,3386.0,1000244,17.0,Roma,Flaminio,5337,21,77
13504,34.48,525,348.0,1000438,11.0,Roma,Monte Sacro Alto,3375,10,221
13505,1.09,929,5515.0,1000616,12.0,Roma,Prenestino-Labicano,5633,11,327
13506,5.03,940,1590.0,1000646,13.0,Roma,Prenestino-Labicano,3475,13,118
13507,24.75,891,202.0,1000618,17.0,Roma,Prenestino-Labicano,2720,8,153
13508,6.33,230,2211.0,1001210,5.0,Roma,Giuliano-Dalmata,8478,27,848
13509,3.99,107,1002.0,1000640,12.0,Roma,Prenestino-Labicano,7250,15,233
13510,2.83,613,4948.0,1000602,13.0,Roma,Prenestino-Labicano,6835,19,548
13511,4.32,957,2780.0,1000635,16.0,Roma,Prenestino-Labicano,2216,8,108
13512,4.85,1293,3092.0,1001340,9.0,Roma,Lido di Ostia Levante,4760,9,384
13513,8.16,294,1226.0,1001511,10.0,Roma,Portuense,13580,19,549
13514,4.2,1293,3092.0,1001340,8.0,Roma,Lido di Ostia Levante,5869,11,518
13515,4.22,119,1658.0,1002068,16.0,Roma,La Giustiniana,13171,26,60
13516,27.03,966,37.0,1000728,18.0,Roma,Torre Spaccata,10400,16,369
13517,10.22,755,587.0,1000218,8.0,Roma,Parioli,3833,11,179
13518,5.31,500,2072.0,1058062,17.0,Montelanico,,9445,15,64
13519,8.2,500,2072.0,1058062,8.0,Montelanico,,6629,11,42
13520,21.55,267,232.0,1001802,7.0,Roma,Aurelio,2220,6,403
13521,2.92,1049,4794.0,1001736,20.0,Roma,Trionfale,7821,17,282
13522,2.1,1124,8557.0,1001404,4.0,Fiumicino,,9788,15,738
13523,0.8,377,1257.0,1001395,6.0,Roma,Acilia Nord,10600,16,802
13524,3.68,467,1086.0,1002057,16.0,Roma,La Giustiniana,3525,9,122
13525,11.98,1234,167.0,1001244,16.0,Roma,Torrino,19950,23,38
13526,15.83,259,379.0,1000432,6.0,Roma,Marcigliana,24250,28,2475
13527,1.62,1029,3086.0,1000936,7.0,Roma,Appio-Latino,1660,7,146
13528,0.8,377,1257.0,1001395,13.0,Roma,Acilia Nord,11100,22,311
13529,5.97,434,2011.0,1002013,18.0,Roma,La Giustiniana,14100,16,251
